Grande Região	Tipo de ensino superior	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Grande Região	Tipo de ensino superior	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Norte	Graduação tecnológica	16	51	12	44	10	43	15	54	23	66	16	67	27	66
Norte	Graduação não tecnológica	154	431	141	469	184	484	160	520	183	526	171	534	193	622
Nordeste	Graduação tecnológica	50	111	41	113	37	108	54	132	65	122	70	134	71	176
Nordeste	Graduação não tecnológica	546	1153	536	1115	619	1269	568	1231	550	1120	589	1172	602	1204
Sudeste	Graduação tecnológica	254	148	190	167	161	152	209	157	291	249	338	264	340	295
Sudeste	Graduação não tecnológica	1991	1162	1820	1202	1963	1355	1978	1321	1962	1296	1915	1384	1900	1426
Sul	Graduação tecnológica	113	26	119	28	134	26	105	37	195	45	181	74	215	56
Sul	Graduação não tecnológica	1001	153	997	197	1005	232	1009	230	923	238	893	266	902	297
Centro-Oeste	Graduação tecnológica	35	49	31	47	29	38	27	68	46	73	49	77	46	87
Centro-Oeste	Graduação não tecnológica	286	394	281	383	302	449	303	418	309	406	307	411	325	424
